identifier,resource_type,md_standard,ogc_web_services,md_date,language,crs_epsg_codes,title,keywords,abstract,md_contact_name,md_contact_email,landing_page,data_creators,data_publishers,data_pointcontact,bounding_box,license,access_rights,wcs_getcapabilities_url,wfs_getcapabilities_url,csw_metadata_name,csw_metadata_name_clean,coverage_id,clean_coverage_id,layer,crs_epsg,spatial_resolution
9d973c4a-ef03-4785-b7f6-942e86b385f8,dataset,ISO 19115,WMS; WCS,2024-12-15,dut,,Bathymetrie Nederland - kust,Bathymetrie; Bodemhoogte; loding; multibeam; Survey; DSM; ADN,"Nederlands deel van de Noordzee kust ondieper dan 10 m LAT, tot een 20 meter grid resolutie geinterpoleerd grid van waarden uit dieptemetingen van de hydrografische opnemingsvaartuigen opgeslagen in het Landelijk Opslagsysteem Lodingen. Deze dataset geeft een moment opname van de bodemligging van tenminste de Noordzee binnen het Nederlandse Continentaal Plat ondieper dan 20 mtr. en begrenst door basislijn van de Nederlandse kust en sluit aan bij Bathymetrie voor de Nederlandse binnenwateren. Voorals nog incl. Zeevaartgeulen, IJsselmeer, Waddenzee en de Zeeuwse en Zuidhollandse Wateren.",Rijkswaterstaat,servicedesk-data@rws.nl,,,,Servicedesk Data (Rijkswaterstaat),"('3.119', '50.67', '7.28', '53.61')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://geo.rijkswaterstaat.nl/services/ogc/gdr/bodemhoogte_20mtr/ows?service=WCS&request=getcapabilities&version=2.0.1,,bodemhoogte_20mtr:bodemhoogte_20mtr,bodemhoogte_20mtr,bodemhoogte_20mtr__bodemhoogte_20mtr,bodemhoogte_20mtr,bodemhoogte_20mtr__bodemhoogte_20mtr,28992,"(20.0, 20.0)"
{417EC886-0DB7-4362-ADAE-1AA0849769F1},dataset,ISO 19115,WMS; WCS,2024-12-10,dut,28992; 5709,"Stafkaarten (omgeving: Krabbendijke,Rilland,Hogerheide)",Risico's en externe veiligheid; Mileu,"Kaart met locaties waar op basis van historische informatie (gebeurtenissen) mogelijk munitie in de bodem aanwezig is. De gebeurtenissen uit de Tweede Wereldoorlog, zijn gebaseerd op literatuur, gemeente-archieven, raadpleging experts, stafkaarten, meldingen van burgers (geïnteresseerden, en ouderen die de oorlog hebben meegemaakt) en enkele andere (archief)bronnen. 

        WOI is niet in beschouwing genomen. 
        Een uitgebreide toelichting op het onderzoek, de aanpak en de resultaten is beschreven in het rapport ""Conventionele Explosieven in Zeeland"" (kenmerk 2010607, december 2010).",Provincie Zeeland,geo@zeeland.nl,,,,Provincie Zeeland,"('4.10', '51.367', '4.337', '51.49')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://opengeodata.zeeland.nl/geoserver/rasters_stafkaarten/wcs?request=GetCapabilities,,GEORMA_STFKRTWO2MRK_ZTRST,GEORMA_STFKRTWO2MRK_ZTRST,rasters_stafkaarten__georma_stfkrtwo2mrk_ztrst,GEORMA_STFKRTWO2MRK_ZTRST,rasters_stafkaarten__georma_stfkrtwo2mrk_ztrst,28992,"(2.231777438774114, 2.2317774311926573)"
{FE1D7765-83F6-410C-AEF9-1D1A6DA41226},dataset,ISO 19115,WMS; WCS,2024-12-10,dut,28992; 5709,Waterkansenkaart Stedelijk gebied – Inspanningsniveau,Waterkansenkaart; Waterhuishouding,"Om aan te geven in welke richting stedelijke uitbreiding uit (geo-)hydrologisch oogpunt het best gezocht kan worden, is door combinatie van drie criteria een kansenkaart gemaakt die een indicatie voor de mate van geschiktheid voor stedelijke uitbreiding geeft. De gebruikte criteria zijn:
*	Infiltratiemogelijkheden: De mogelijkheden voor infiltratie worden beoordeeld op drie factoren, te weten: dikte van de deklaag, indicatie kwelintensiteit en ontwikkelingsmogelijkheden voor zoetwatervoorraden.
*	Zettingsgevoeligheid: De gevoeligheid is beoordeeld op een combinatie van de factoren dikte kleiïge deklaag, dikte hollandveen en bodemopbouw. 
*	Waterhuishouding: Locaties waar sprake is van een verhoogd risico op wateroverlast zijn aangegeven op basis van kwelintensiteit, relatieve hoogteligging  en bodemopbouw.

De legenda van de kaart geeft een indicatie van de benodigde inspanning voor stedelijke ontwikkeling: van laag tot zeer hoog.",Provincie Zeeland,geo@zeeland.nl,,,,Provincie Zeeland,"('3.34', '51.195', '4.284', '51.75')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://opengeodata.zeeland.nl/geoserver/rasters/wcs?request=GetCapabilities,,GEOGWD_WTRKNSKRTGSHBBWRST,GEOGWD_WTRKNSKRTGSHBBWRST,rasters__GEOGWD_WTRKNSKRTGSHBBWRST,GEOGWD_WTRKNSKRTGSHBBWRST,rasters__GEOGWD_WTRKNSKRTGSHBBWRST,28992,"(25.0, 25.0)"
{B046F51C-DEAE-4148-88F6-996B92493E3D},dataset,ISO 19115,WMS; WCS,2024-03-26,dut,28992; 5709,Stafkaarten ( omgeving: Westkapelle ),Risico's en externe veiligheid; Milieu,"Kaart met locaties waar op basis van historische informatie (gebeurtenissen) mogelijk munitie in de bodem aanwezig is. De gebeurtenissen uit de Tweede Wereldoorlog, zijn gebaseerd op literatuur, gemeente-archieven, raadpleging experts, stafkaarten, meldingen van burgers (geïnteresseerden, en ouderen die de oorlog hebben meegemaakt) en enkele andere (archief)bronnen. 

        WOI is niet in beschouwing genomen. 
        Een uitgebreide toelichting op het onderzoek, de aanpak en de resultaten is beschreven in het rapport ""Conventionele Explosieven in Zeeland"" (kenmerk 2010607, december 2010).",Provincie Zeeland,geo@zeeland.nl,,,,Provincie Zeeland,"('3.324', '51.466', '3.569', '51.593')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://opengeodata.zeeland.nl/geoserver/rasters_stafkaarten/wcs?request=GetCapabilities,,GEORMA_STFKRTWO2KOPWLHRST,GEORMA_STFKRTWO2KOPWLHRST,rasters_stafkaarten__GEORMA_STFKRTWO2KOPWLHRST,GEORMA_STFKRTWO2KOPWLHRST,rasters_stafkaarten__GEORMA_STFKRTWO2KOPWLHRST,28992,"(2.263138023382273, 2.26313801420783)"
{C70C0460-80D8-47C6-A245-177A0A7D98B1},dataset,ISO 19115,WMS; WCS,2024-12-10,dut,28992; 5709,"Stafkaarten (omgeving: Wemeldinge, Yerseke )",Risico's en externe veiligheid; Milieu,"Kaart met locaties waar op basis van historische informatie (gebeurtenissen) mogelijk munitie in de bodem aanwezig is. De gebeurtenissen uit de Tweede Wereldoorlog, zijn gebaseerd op literatuur, gemeente-archieven, raadpleging experts, stafkaarten, meldingen van burgers (geïnteresseerden, en ouderen die de oorlog hebben meegemaakt) en enkele andere (archief)bronnen. 

        WOI is niet in beschouwing genomen. 
        Een uitgebreide toelichting op het onderzoek, de aanpak en de resultaten is beschreven in het rapport ""Conventionele Explosieven in Zeeland"" (kenmerk 2010607, december 2010).",Provincie Zeeland,geo@zeeland.nl,,,,Provincie Zeeland,"('3.876', '51.45', '4.117', '51.574')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://opengeodata.zeeland.nl/geoserver/rasters_stafkaarten/wcs?request=GetCapabilities,,GEORMA_STFKRTWO2WMLRST,GEORMA_STFKRTWO2WMLRST,rasters_stafkaarten__GEORMA_STFKRTWO2WMLRST,GEORMA_STFKRTWO2WMLRST,rasters_stafkaarten__GEORMA_STFKRTWO2WMLRST,28992,"(2.2342986297652967, 2.234298638778217)"
{5E64C339-ED7C-4D19-8860-6E53A9E0EC8E},dataset,ISO 19115,WMS; WCS,2024-12-10,dut,28992; 5709,"Stafkaarten ( omgeving: Borssele, Nisse, Ellewoutsdijk )",Milieu; Risico's en externe veiligheid,"Kaart met locaties waar op basis van historische informatie (gebeurtenissen) mogelijk munitie in de bodem aanwezig is. De gebeurtenissen uit de Tweede Wereldoorlog, zijn gebaseerd op literatuur, gemeente-archieven, raadpleging experts, stafkaarten, meldingen van burgers (geïnteresseerden, en ouderen die de oorlog hebben meegemaakt) en enkele andere (archief)bronnen. 

        WOI is niet in beschouwing genomen. 
        Een uitgebreide toelichting op het onderzoek, de aanpak en de resultaten is beschreven in het rapport ""Conventionele Explosieven in Zeeland"" (kenmerk 2010607, december 2010).",Provincie Zeeland,geo@zeeland.nl,,,,Provincie Zeeland,"('3.67', '51.357', '3.907', '51.478')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://opengeodata.zeeland.nl/geoserver/rasters_stafkaarten/wcs?request=GetCapabilities,,GEORMA_STFKRTWO2_ZDBVLRST,GEORMA_STFKRTWO2_ZDBVLRST,rasters_stafkaarten__georma_stfkrtwo2_zdbvlrst,GEORMA_STFKRTWO2_ZDBVLRST,rasters_stafkaarten__georma_stfkrtwo2_zdbvlrst,28992,"(2.1753162622335434, 2.1753162616511306)"
{4830299F-E1C4-4480-B64C-4F2837095F9F},dataset,ISO 19115,WMS; WCS,2024-12-10,dut,28992; 5709,Stafkaarten (omgeving: Sloedam),Risico's en externe veiligheid; Milieu,"Kaart met locaties waar op basis van historische informatie (gebeurtenissen) mogelijk munitie in de bodem aanwezig is. De gebeurtenissen uit de Tweede Wereldoorlog, zijn gebaseerd op literatuur, gemeente-archieven, raadpleging experts, stafkaarten, meldingen van burgers (geïnteresseerden, en ouderen die de oorlog hebben meegemaakt) en enkele andere (archief)bronnen. 

        WOI is niet in beschouwing genomen. 
        Een uitgebreide toelichting op het onderzoek, de aanpak en de resultaten is beschreven in het rapport ""Conventionele Explosieven in Zeeland"" (kenmerk 2010607, december 2010).",Provincie Zeeland,geo@zeeland.nl,,,,Provincie Zeeland,"('3.658', '51.442', '3.903', '51.569')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://opengeodata.zeeland.nl/geoserver/rasters_stafkaarten/wcs?request=GetCapabilities,,GEORMA_STFKRTWO2_SLDAMRST,GEORMA_STFKRTWO2_SLDAMRST,rasters_stafkaarten__georma_stfkrtwo2_sldamrst,GEORMA_STFKRTWO2_SLDAMRST,rasters_stafkaarten__georma_stfkrtwo2_sldamrst,28992,"(2.263038952225842, 2.26303894389439)"
{D44400BB-740D-48B6-977B-C504574D7C4A},dataset,ISO 19115,WMS; WCS,2024-12-10,dut,28992; 5709,"Stafkaarten ( omgeving: Middelburg, Serooskerke, Veere )",Risico's en externe veiligheid; Milieu,"Kaart met locaties waar op basis van historische informatie (gebeurtenissen) mogelijk munitie in de bodem aanwezig is. De gebeurtenissen uit de Tweede Wereldoorlog, zijn gebaseerd op literatuur, gemeente-archieven, raadpleging experts, stafkaarten, meldingen van burgers (geïnteresseerden, en ouderen die de oorlog hebben meegemaakt) en enkele andere (archief)bronnen. 

        WOI is niet in beschouwing genomen. 
        Een uitgebreide toelichting op het onderzoek, de aanpak en de resultaten is beschreven in het rapport ""Conventionele Explosieven in Zeeland"" (kenmerk 2010607, december 2010).",Provincie Zeeland,geo@zeeland.nl,,,,Provincie Zeeland,"('3.548', '51.493', '3.774', '51.613')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://opengeodata.zeeland.nl/geoserver/rasters_stafkaarten/wcs?request=GetCapabilities,,GEORMA_STFKRTWO2VRERST,GEORMA_STFKRTWO2VRERST,rasters_stafkaarten__georma_stfkrtwo2vrerst,GEORMA_STFKRTWO2VRERST,rasters_stafkaarten__georma_stfkrtwo2vrerst,28992,"(2.1002282691782694, 2.100228274528752)"
e582bc7a-a76d-42b4-a465-90fa03b3a5e5,dataset,ISO 19115,WMS; WCS,2024-12-10,dut,28992; 5709,Waterkansenkaart Stedelijk Gebied - Infiltratiemogelijkheden,Waterkansenkaart; Waterhuishouding,"De waterkansenkaarten stedelijk gebied zijn bedoeld om mogelijkheden en beperkingen bij stedelijke uitbreiding inzichtelijk te maken.
De mogelijkheden voor infiltratie worden beoordeeld op drie factoren, te weten: de dikte van de deklaag, de berekende kwelintensiteit en de berekende belvorming.",Provincie Zeeland,geo@zeeland.nl,,,,Provincie Zeeland,"('3.34', '51.195', '4.284', '51.75')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://opengeodata.zeeland.nl/geoserver/rasters/wcs?request=GetCapabilities,,GEOGWD_WTRKNSKRTINFMGHRST,GEOGWD_WTRKNSKRTINFMGHRST,rasters__GEOGWD_WTRKNSKRTINFMGHRST,GEOGWD_WTRKNSKRTINFMGHRST,rasters__GEOGWD_WTRKNSKRTINFMGHRST,28992,"(25.0, 25.0)"
{97F5F0C3-EE83-4845-BFD1-6682C1CC2F0C},dataset,ISO 19115,WMS; WCS,2024-12-10,dut,28992; 5709,"Stafkaarten ( omgeving: Hansweert, Ossenisse, Hoedekenskerke)",Risico's en externe veiligheid; Milieu,"Kaart met locaties waar op basis van historische informatie (gebeurtenissen) mogelijk munitie in de bodem aanwezig is. De gebeurtenissen uit de Tweede Wereldoorlog, zijn gebaseerd op literatuur, gemeente-archieven, raadpleging experts, stafkaarten, meldingen van burgers (geïnteresseerden, en ouderen die de oorlog hebben meegemaakt) en enkele andere (archief)bronnen. 

        WOI is niet in beschouwing genomen. 
        Een uitgebreide toelichting op het onderzoek, de aanpak en de resultaten is beschreven in het rapport ""Conventionele Explosieven in Zeeland"" (kenmerk 2010607, december 2010).",Provincie Zeeland,geo@zeeland.nl,,,,Provincie Zeeland,"('3.883', '51.359', '4.125', '51.484')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://opengeodata.zeeland.nl/geoserver/rasters_stafkaarten/wcs?request=GetCapabilities,,GEORMA_STFKRTWO2PLTOSSRST,GEORMA_STFKRTWO2PLTOSSRST,rasters_stafkaarten__georma_stfkrtwo2pltossrst,GEORMA_STFKRTWO2PLTOSSRST,rasters_stafkaarten__georma_stfkrtwo2pltossrst,28992,"(2.2613137284219107, 2.2613137209302288)"
