identifier,resource_type,md_standard,ogc_web_services,md_date,language,crs_epsg_codes,title,keywords,abstract,md_contact_name,md_contact_email,landing_page,data_creators,data_publishers,data_pointcontact,bounding_box,license,access_rights,wcs_getcapabilities_url,wfs_getcapabilities_url,csw_metadata_name,csw_metadata_name_clean,coverage_id,clean_coverage_id,layer,crs_epsg,spatial_resolution,bbox_28992,intersects_outline_1
9d973c4a-ef03-4785-b7f6-942e86b385f8,dataset,ISO 19115,WMS; WCS,2024-12-15,dut,,Bathymetrie Nederland - kust,Bathymetrie; Bodemhoogte; loding; multibeam; Survey; DSM; ADN,"Nederlands deel van de Noordzee kust ondieper dan 10 m LAT, tot een 20 meter grid resolutie geinterpoleerd grid van waarden uit dieptemetingen van de hydrografische opnemingsvaartuigen opgeslagen in het Landelijk Opslagsysteem Lodingen. Deze dataset geeft een moment opname van de bodemligging van tenminste de Noordzee binnen het Nederlandse Continentaal Plat ondieper dan 20 mtr. en begrenst door basislijn van de Nederlandse kust en sluit aan bij Bathymetrie voor de Nederlandse binnenwateren. Voorals nog incl. Zeevaartgeulen, IJsselmeer, Waddenzee en de Zeeuwse en Zuidhollandse Wateren.",Rijkswaterstaat,servicedesk-data@rws.nl,,,,Servicedesk Data (Rijkswaterstaat),"('3.119', '50.67', '7.28', '53.61')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://geo.rijkswaterstaat.nl/services/ogc/gdr/bodemhoogte_20mtr/ows?service=WCS&request=getcapabilities&version=2.0.1,,bodemhoogte_20mtr:bodemhoogte_20mtr,bodemhoogte_20mtr,bodemhoogte_20mtr__bodemhoogte_20mtr,bodemhoogte_20mtr,bodemhoogte_20mtr__bodemhoogte_20mtr,28992,"(20.0, 20.0)","(-5344.194568600709, 299499.2440632838, 288810.96212880535, 627262.8889801544)",True
7f14c112-9004-43ec-8cf2-0ac54a253721,dataset,ISO 19115,WMS; WCS,2022-11-15,dut,28992,Natuurlijke ziekte- en plaagwering van de bodem (relatief),bodem,"Wat ziet U: De natuurlijke ziekten- en plaagwering van de bovenste 20 cm van de bodem, obv samengestelde indicatorenset

Wat is de waarde: Een goede natuurlijke ziekten- en plaagwering is goed voor de gezonde groei van gewassen, zonder overvloedige bestrijding (bestrijdingsmiddelengebruik tegen onkruiden, plaaginsecten en plantenziekten). 

Belangrijk voor: verminderen van ziekten- en plaagbestrijding met chemische middelen in de landbouw en op recreatieterreinen.",RIVM,atlasnatuurlijkkapitaal@rivm.nl,,RIVM,,,"('3.37087', '50.7539', '7.21097', '53.4658')",geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/ank/wcs?,,rivm_r3_gm_diseasesupp,rivm_r3_gm_diseasesupp,ank__rivm_r3_gm_diseasesupp,rivm_r3_gm_diseasesupp,ank__rivm_r3_gm_diseasesupp,28992,"(25.0, 25.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True
9d9573b0-bd3b-4d7b-a97d-e65841e6e0b2,service,ISO 19115,WCS,2025-07-11,dut,,Bathymetrie Nederland - binnenwateren (WCS),Bathymetrie; Bodemhoogte; ADN; loding; multibeam; EU; INSPIRE,Dit is de Web Coverage Service van tot 1 meter grid resolutie geinterpoleerd grids van waarden uit dieptemetingen van de hydrografische opnemingsvaartuigen opgeslagen in het Landelijk Opslagsysteem Lodingen. Deze dataset geeft een moment opname van de bodemligging van de binnenwateren Van de grens met Duitsland tot de basislijn van de Nederlandse kust en sluit aan bij Bathymetrie van de Noordzee.,Rijkswaterstaat,servicedesk-dat@rws.nl,,,,Servicedesk Data (Rijkswaterstaat),"('3.20', '50.73', '7.24', '53.58')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://geo.rijkswaterstaat.nl/services/ogc/gdr/bodemhoogte_1mtr/ows?service=WCS&request=getcapabilities&version=2.0.1,,bodemhoogte_1mtr:bodemhoogte_1mtr_202412,bodemhoogte_1mtr_202412,bodemhoogte_1mtr__bodemhoogte_1mtr_202412,bodemhoogte_1mtr_202412,bodemhoogte_1mtr__bodemhoogte_1mtr_202412,28992,"(1.0, 1.0)","(579.9331907132582, 306100.5509449109, 285814.79639937164, 623758.6083566735)",True
d0e5dcae-67ac-4bf7-b05b-32fd6972353f,service,ISO 19115,WCS,2025-05-27,dut,,Fijnstof (PM10) Grootschalige concentratiekaarten Nederland (INSPIRE as-is WCS),,"Het RIVM maakt elk jaar kaarten van de luchtverontreiniging in Nederland. Dit gebeurt voor verschillende stoffen in de lucht, waaronder stikstofdioxide en fijnstof. Het RIVM gebruikt zowel modelberekeningen als metingen om deze GCN(Grootschalige Concentratiekaarten Nederland)-kaarten te maken. Zo komen de concentraties het best overeen met de werkelijke situatie in het afgelopen jaar.

Slechte luchtkwaliteit is schadelijk voor de gezondheid. De GCN-kaarten worden gebruikt om de ontwikkeling van de luchtkwaliteit in Nederland te volgen. Overheden gebruiken de toekomstverwachtingen om beleid te maken voor een betere luchtkwaliteit.

Bron: Grootschalige concentratiekaarten Nederland. Rapportage 2025 | RIVM in te vullen",,info@rivm.nl,,,,,"('3.37', '50.75', '7.21', '53.47')",Geen beperkingen (https://creativecommons.org/publicdomain/mark/1.0/deed.nl),otherRestrictions,https://data.rivm.nl/geo/gcn/wcs/GetCapabilities?request=GetCapabilities,,gcn:conc_PM10_2024,conc_PM10_2024,,,gcn:conc_PM10_2024,28992,"(1000.0, 1000.0)","(12641.342046650214, 308271.9446049008, 283641.6146431133, 611189.4251694259)",True
2a3b204a-e46a-413d-b5de-3246ac1c7645,dataset,ISO 19115,WMS; WCS,2022-11-13,dut,28992,"Ecologisch kapitaal bodem, door diffuse bodemverontreiniging aangetast",bodem; mspaf; verontreiniging,"Wat ziet U: de chemische bodemkwaliteit die belemmerend is voor het functioneren van het ecosysteem in de toplaag van de bodem, aan de hand van gegevens over de diffuse chemische belasting en kennis van de ecotoxiciteit van stoffen. 

Wat is de Waarde: Diffuse bodemverontreiniging is het gevolg van onzorgvuldig handelen in het verleden, en is nog steeds een aandachtspunt als gevolg van onbedoelde verspreiding van stoffen (metalen, antibiotica, bestrijdingsmiddelen, etc). Bodemverontreiniging is een van de bedreigingen in de Europese bodemstrategie. In Nederland is het effect van metalen op het ecosysteem het grootst en nog steeds is de milieubelasting niet volledig beheerst, en nieuwe bedreigingen steken de kop op (bestrijdingsmiddelne, antibiotica, nanomaterialen, etc.).

Belangrijk voor: Ecologische kapitaal en ecosysteemdiensten.",RIVM,atlasnatuurlijkkapitaal@rivm.nl,,RIVM,,,"('3.37087', '50.7539', '7.21097', '53.4658')",Geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/ank/wcs?,,dank__rivm_r9_gm_mspaf,rivm_r9_gm_mspaf,ank__rivm_r9_gm_mspaf,rivm_r9_gm_mspaf,ank__rivm_r9_gm_mspaf,28992,"(1000.0, 1000.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True
62ace108-45b9-4112-8ef3-dc1e4f1ee483,dataset,ISO 19115,WMS; WCS,2022-11-15,dut,28992,Zelfreinigend vermogen in de toplaag van de bodem (relatief),bodem,"Wat ziet U: Het zelfreinigende vermogen in de toplaag van de bodem, obv samengestelde indicatorenset

Wat is de Waarde: Het zelfreinigende vermogen van de bodem zorgt voor het onschadelijk maken van probleem-stoffen (verontreiniging) en het binnen onschadelijke concentraties houden van systeemeigen stoffen, en in het bijzonder voor het schoonmaken van grondwater en oppervlaktewater voor winning en natuurdoelen.

Belangrijk voor: bodem in het algemeen en in het bijzonder voor bodem in de stad.",RIVM,atlasnatuurlijkkapitaal@rivm.nl,,RIVM,,,"('3.37087', '50.7539', '7.21097', '53.4658')",geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/wcs?,,dank:rivm_r5_gm_naturalatt,rivm_r5_gm_naturalatt,ank__rivm_r5_gm_naturalatt,rivm_r5_gm_naturalatt,ank__rivm_r5_gm_naturalatt,28992,"(25.0, 25.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True
6befd27c-d01b-4153-9dfa-9b6d7adcbf29,service,ISO 19115,WMS; WMTS; WCS,2023-10-20,dut,7415,Actueel Hoogtebestand Nederland 1 (AHN1) DTM,hoogte; elevation; LiDAR; laseraltimetrie; water; AHN; maaiveld,"Het Actueel Hoogtebestand Nederland (AHN) is de digitale hoogtekaart voor heel Nederland. AHN is een samenwerking van de provincies, Rijksoverheid en de waterschappen. De hoogte wordt gemeten met laseraltimetrie: een techniek waarbij een vliegtuig met een laserstraal het aardoppervlak aftast. Het AHN1 is ingewonnen in de periode 1996-2002. Voor meer informatie over het AHN zie https://ahn.nl.

In deze WMS zijn de AHN1 rasterbestanden met een resolutie van 5 meter opgenomen. Het DTM is bedoeld als maaiveldbestand, waarbij alle punten geclassificeerd als 'maaiveld' tot een raster zijn herbemonsterd op basis van een Squared IDW methode.",,info@ahn.nl,,,,Het Waterschapshuis,"('3.1647', '50.66086', '7.37703', '53.66608')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://api.ellipsis-drive.com/v3/ogc/wcs/552c92e8-8422-46eb-bb55-1eb39e18eee9?request=getCapabilities&version=1.0.0&requestedEpsg=28992,,a19ef596-c48b-479e-87f5-b808cf6fb4d3,a19ef596-c48b-479e-87f5-b808cf6fb4d3,,,a19ef596-c48b-479e-87f5-b808cf6fb4d3,28992,"(4.999553312637055, 4.999488238055023)","(-2145.068796816806, 298664.3902052755, 295696.95189787453, 633408.3137376613)",True
c186ec2a-ca51-4d28-b2a8-d99ce886e145,dataset,ISO 19115,WMS; WCS,2022-11-17,dut,28992,Grootschalige stikstofdepositie Nederland,stikstofdepositie,Wat ziet u? De depositie van stikstofverbindingen in Nederland. De ruimtelijke resolutie is 1x km2. Depositiewaarden voor de natuur m.n. de Natura2000-gebieden worden gebruikt in de Programmatische Aanpak Stikstof (PAS). Stikstofdepositie op andere gebieden in Nederland worden geleverd aan de PBL en CBS. CBS maakt daarvan onder ander N-balansen over landbouwgebied en wateren.,RIVM,atlasnatuurlijkkapitaal@rivm.nl,,RIVM,,,"('3.37087', '50.7539', '7.21097', '53.4658')",Geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/wcs?VERSION=2.0.1&SERVICE=WCS&REQUEST=GetCoverage&COVERAGEID=dank__rivm_r19_gm_n-depositie,,rivm_r19_gm_n-depositie,rivm_r19_gm_n-depositie,ank__rivm_r19_gm_n-depositie,rivm_r19_gm_n-depositie,ank__rivm_r19_gm_n-depositie,28992,"(1000.0, 1000.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True
d552c878-d8a0-4516-9182-86cee400305c,dataset,ISO 19115,WMS; WCS,2022-11-12,dut,28992,Bodemstructuur toplaag voor groei van gewassen (relatief),bodem; structuur,"Wat ziet U: De bodemstructuur van de bovenste 20 cm van de bodem, obv samengestelde indicatorenset

Wat is de waarde: Een goede bodemstructuur is gunstig voor groei van gewassen en een buffer voor water (opslag, afgifte en transport). Een goede bodemstructuur staat toe het land te berijden zonder schade van zware machines. 

Belangrijk voor: Alle groene functies van de bodem (landbouw, recreatie, parken, tuinen)",RIVM,atlasnatuurlijkkapitaal@rivm.nl,,,,,"('3.37087', '50.7539', '7.21097', '53.4658')",Geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/ank/wcs?,,dank__rivm_r1_gm_soilstr,rivm_r1_gm_soilstr,ank__rivm_r1_gm_soilstr,rivm_r1_gm_soilstr,ank__rivm_r1_gm_soilstr,28992,"(25.0, 25.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True
d0cbfd5d-8fb3-4db5-a5de-8d2eff5e7132,dataset,ISO 19115,WMS; WCS,2022-11-15,dut,28992,Waterregulatie in de toplaag van de bodem (relatief),water,"Wat ziet U: De waterregulatiecapaciteit van de toplaag van de bodem, obv samengestelde indicatorenset

Wat is de waarde: Een goede waterregulatiecapaciteit van de bodem is goed voor de groei van gewassen, met minder kunstmatige beregening en drainage, is goed voor de kwalititeit van het grondwater en oppervlaktewater, en zorgt samen met de structuur van de bodem voor de mogelijkheid tot berijding zonder schade. 

Belangrijk voor: landbouw, en bodem in de stad.",RIVM,atlasnatuurlijkkapitaal@rivm.nl,,RIVM,,,"('3.37087', '50.7539', '7.21097', '53.4658')",Geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/wcs?,,dank:rivm_r4_gm_waterreg,rivm_r4_gm_waterreg,ank__rivm_r4_gm_waterreg,rivm_r4_gm_waterreg,ank__rivm_r4_gm_waterreg,28992,"(25.0, 25.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True
