identifier,resource_type,md_standard,ogc_web_services,md_date,language,crs_epsg_codes,title,keywords,abstract,md_contact_name,md_contact_email,landing_page,data_creators,data_publishers,data_pointcontact,bounding_box,license,access_rights,wcs_getcapabilities_url,wfs_getcapabilities_url,csw_metadata_name,csw_metadata_name_clean,feature_id,clean_feature_ids,layer,bbox_28992,intersects_outline_1,intersects_outline_2
fdbb1ab4-57cb-4393-bea7-5cbf260c24d6,service,ISO 19115,WFS,2024-08-08,dut,,CBS Gebiedsindelingen 2010 WFS,Statistische eenheden; Gebiedsindeling; Gemeente; Landsdeel; Provincie; Buurt; COROP-gebied; GGD-regio; NUTS3; NUTS1; NUTS2; Wijk; Grootstedelijke aglomeratie; Stadsgewest; COROP-plusgebied; COROP-subgebied; Landbouwgebied; Landbouwgroep; RPA-gebied; Toeristengroep; Toeristengebied; Arrondissementsgebied; Brandweerregio; Kamer van Koophandelregio; Politieregio; Regionale Eenheid; Veiligheidsregio; Zorgkantoorregio; Arbeidsmarktregio; Jeugdregio,Deze service bevat de CBS Gebiedsindelingen van 2010. De volgende gebiedsindelingen kunnen voorkomen: Gemeente Landsdeel Provincie Buurt COROP-gebied GGD-regio NUTS1 NUTS2 NUTS3 Wijk COROP-plusgebied COROP-subgebied Landbouwgebied Landbouwgroep RPA-gebied Toeristengroep Toeristengebied Arrondissementsgebied KamervanKoophandelregio Regionale-Eenheid Veiligheidsregio Veiligthuisregio Zorgkantoorregio Arbeidsmarktregio Regioplus-arbeidsmarktregio Jeugdregio Ressort RES-regio Regionaalmeldcoördinatiepunt Regionale-energiestrategie SubRES-regio,,beheerpdok@kadaster.nl,,,,,"('1.086', '50.5622', '8.4677', '55.8094')","Naamsvermelding verplicht, organisatienaam (https://creativecommons.org/licenses/by/4.0/deed.nl)",otherRestrictions,,https://service.pdok.nl/cbs/gebiedsindelingen/2010/wfs/v1_0?request=GetCapabilities&service=WFS,gebiedsindelingen:arrondissementsgebied_gegeneraliseerd,arrondissementsgebied_gegeneraliseerd,gebiedsindelingen:arrondissementsgebied_gegeneraliseerd,arrondissementsgebied_gegeneraliseerd,gebiedsindelingen:arrondissementsgebied_gegeneraliseerd,"(-149679.44639955222, 290362.8354438023, 373251.7408847706, 878032.1684988415)",True,True
8665fd45-d7d3-4341-a177-1788be9ec571,service,ISO 19115,WFS,2025-01-21,dut,4258,Hydrografie: Netwerk (INSPIRE geharmoniseerd) WFS,Hydrografie; Nationaal; Netwerkschematisatie; Nhi; Inspire; Hydrografisch netwerk; Eu; Menselijke gezondheid en veiligheid; Nationaal hydrologisch instrumentarium; Netwerkschematisaties,"Naar INSPIRE thema Hydrography - Network geharmoniseerd Nationaal Hydrologisch Instrumentarium netwerkschematisaties (NHI). Het netwerk applicatie schema bevat ruimtelijke objecten verbonden met een hydrografische netwerkweergave van waterwegen, meren etc. Dit is primair nodig voor de gebruikerstoepassing 'ruimtelijke analyses en modellering'.",,beheerpdok@kadaster.nl,,,,,"('-5.9061', '49.1673', '13.6282', '57.0701')",Geen beperkingen (https://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,,https://service.pdok.nl/rws/hydrografie/netwerk/wfs/v1_0?request=GetCapabilities&service=WFS,hydrografie:hydro_node,hydro_node,hydrografie:hydro_node,hydro_node,hydrografie:hydro_node,"(-666936.2500724364, 164050.63431923097, 755515.6330053298, 1065582.570636799)",True,True
27ee1046-8eb4-440f-97e4-274fa51cd870,service,ISO 19115,WFS,2025-07-03,dut,,Vaarweg Netwerk Data Service (VNDS) - bevaarbaarheid WFS,Vervoersnetwerk; Vaarweg; Schepen; Scheepvaart; Navigeren; Bevaarbaarheid; CEMT,Deze webfeatureservice bevat alleen de bevaarbaarheid van de vaarwegen uit de Vaarweg Netwerk Data Service (FIS-VNDS),,beheerpdok@kadaster.nl,,,,,"('-1.7706', '50.0813', '10.5461', '56.2483')",Geen beperkingen (https://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,,https://service.pdok.nl/rws/vnds/wfs/v2_0?request=GetCapabilities&service=WFS,vnds:l_navigability,l_navigability,vnds:l_navigability,l_navigability,vnds:l_navigability,"(-356893.8749085563, 245224.31562224115, 524131.0292524807, 941274.5444021081)",True,True
150732ad-782d-448b-9fff-fa7027f11b6a,dataset,ISO 19115,WMS; WFS,2022-11-17,dut,28992,Geluidkaart rijkswegen 2016 (Lnight) - Atlas Leefomgeving,Gezondheid; Veiligheid; geluid; lawaai; nacht; lnight,Deze geluidskaart laat zien hoeveel geluid het verkeer op een snelweg maakte in 2016. De kaart geeft de gemiddelde geluidswaarde van alle nachtperioden (23.00 tot 7.00 uur) weer. Op de kaart staan alle snelwegen die worden beheerd door Rijkswaterstaat. Geluidskaarten van andere wegen en andere geluidsbronnen zijn te vinden bij provincies en een aantal gemeenten. Wettelijk moeten deze geluidbelastingskaarten eenmaal in de vijf jaar worden ontwikkeld.,RIVM,atlasleefomgeving@rivm.nl,,,,Rijkswaterstaat,"('3.1954102881017565', '50.67190131033707', '7.383358171635846', '53.63951025614753')",Geen beperkingen,otherRestrictions,,https://data.rivm.nl/geo/alo/wfs?,alo:vw_rivm_r97_20170912_lg_rijksweg2016lnight,vw_rivm_r97_20170912_lg_rijksweg2016lnight,alo:vw_rivm_r97_20170912_lg_rijksweg2016lnight,vw_rivm_r97_20170912_lg_rijksweg2016lnight,alo:vw_rivm_r97_20170912_lg_rijksweg2016lnight,"(62.6354098431475, 299904.60230959, 296110.8711899901, 630389.498824087)",True,True
82d8fb04-6e3d-4a3a-b230-387afd3dd9da,dataset,ISO 19115,WFS; WMS,2023-08-28,dut,4326,(T) KNMI Actuele synoptische weerwaarnemingen per 10 minuten-KMDS__OPER_P___10M_OBS_L2,luchttemperatuur(10cm); minimumtemperatuur; weercode; maximumtemperatuur; zicht; straling; windrichting; windstoten; neerslag; luchtdruk; zonneschijn; temperatuur; dauwpuntstemperatuur; luchtvochtigheid; windsnelheid; neerslagduur; neerslagintensiteit,"Het KNMI beheert in Nederland 48 automatische weerstations: 13 op luchthavens, 14 op Noordzee platforms (Nederlandse deel van het continentaal plat van de Noordzee) en 21 op land. Tevens zijn er 5 KNMI windmasten in het kustgebied (RWS windmasten zijn niet opgenomen). Deze weerstations rapporteren elke 10 minuten meteorologische parameters over temperatuur, relatieve vochtigheid, wind, luchtdruk, zicht, neerslag, wolken en weercodes. Het aantal parameters per station verschilt. Alleen stations die rapporteren binnen 6 minuten na het waarneemtijdstip maken deel uit van deze dataset. Een 10 minuten synoptische weerwaarneming blijft slechts 24 uur beschikbaar.",KNMI,opendata@knmi.nl,,,,KNMI Datacentrum (KNMI); KNMI Datacentrum (KNMI),"('-68.275833', '12.13', '6.890875', '55.399167')",no limitations to public access (http://inspire.ec.europa.eu/metadata-codelist/LimitationsOnPublicAccess/noLimitations),otherRestrictions,,https://haleconnect.com/ows/services/org.874.c4108a11-bdbb-4461-8902-423531561a7e_wfs?SERVICE=WFS&Request=GetCapabilities,omso:PointObservation,PointObservation,omso:PointObservation,PointObservation,omso:PointObservation,"(-8805606.108908443, -4163197.4757531453, 340296.90378641116, 3233625.7919255774)",True,True
e0d9264a-ec9a-435d-ba5b-c915491dfcb3,service,ISO 19115,WFS,2025-06-25,dut,,Vervoersnetwerken - Waterwegen - Netwerk (INSPIRE geharmoniseerd) WFS,Kilometermarkering; Baken; Boei; Verkeerscheidingsschema; HVD; Vervoersnetwerken; Mobiliteit,De wfs Vervoersnetwerken - Waterwegen - Netwerk bevat het INSPIRE-compliant netwerk van knoopunten (nodes) en vaarwegvakken (links),,beheerpdok@kadaster.nl,,,,,"('0.2051', '50.2321', '10.0396', '54.0598')","Naamsvermelding verplicht, organisatienaam (https://creativecommons.org/licenses/by/4.0/deed.nl)",otherRestrictions,,https://service.pdok.nl/rws/vervoersnetwerken/waterwegen/wfs/v1_0?request=GetCapabilities&service=WFS,vervoersnetwerken:buoy,buoy,vervoersnetwerken:buoy,buoy,vervoersnetwerken:buoy,"(-214606.40064064483, 259561.1541420063, 486862.75799593376, 687239.9751984319)",True,True
69958238-d61e-4440-bed2-26d990578835,service,ISO 19115,WFS,2024-08-29,dut,,Richtlijn Stedelijk Afvalwater (RSA) WFS,Richtlijn Stedelijk Afvalwater; Richtlijn 91/271/EEG; 31991L0271; Lozingspunten; Rioolwaterzuivering; Rwzi; Agglomeraties; Kwetsbaargebied,"Deze Webfeature service Richtlijn Stedelijk Afvalwater, bevat de meest actuele versie van agglomeraties, rioolwaterzuiveringsinstallaties (RWZI's), lozingspunten en kwetsbare gebieden zoals gerapporteerd naar de Europese Commissie tbv EU rapportage",,beheerpdok@kadaster.nl,,,,,"('-0.1124', '50.3808', '9.3353', '55.9755')",Geen beperkingen (https://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,,https://service.pdok.nl/rws/richtlijnstedelijkafvalwater/wfs/v2_0?request=GetCapabilities&service=WFS,richtlijnstedelijkafvalwater:rsa_kwetsbaargebied,rsa_kwetsbaargebied,richtlijnstedelijkafvalwater:rsa_kwetsbaargebied,rsa_kwetsbaargebied,richtlijnstedelijkafvalwater:rsa_kwetsbaargebied,"(-235985.32493249525, 273147.7369725155, 435770.5395191789, 901708.0599155759)",True,True
59246fe4-1dc9-44be-a45f-534b84f22734,dataset,ISO 19115,WMS; WFS,2025-03-14,dut,28992,Huisvesting naar indeling emissie per diergroep per gemeente,gemeenten; provincie; stikstof; huisvesting; staltype; stallen; RAV-code; huisvestingsysteem; emissie; emissiearm; luchtwasser; omgevinswet; veeteelt; pluimvee; varkens; rundvee,"In opdracht van het Programma Realisatie Interbestuurlijke DataStrategie (IBDS) heeft het Centraal Bureau voor de Statistiek (CBS) in samenwerking met provincies statistieken samengesteld. De drie datasets mestproductie, mestgebruik en huisvesting bevatten informatie met gegevens van het jaar 2022 op zowel gemeente- als provincieniveau.
            
            Deze dataset Huisvesting bevat data over huisvesting,  naar de indeling emissiearm/niet-emissiearm en per diergroep.  Data van deze dataset komt van de Gecombineerde Opgave - Opgave Huisvesting – van Rijksdienst Voor Ondernemend Nederland (RVO). Alle RAV codes met het getal 100 erin worden beschouwd als niet emissiearm. RAV codes zijn te vinden hier: https://www.infomil.nl/onderwerpen/landbouw/emissiearme-stalsystemen/emissiefactoren-per/
            
            Let op dat op dit huidige moment Regeling ammoniak en veehouderij (Rav) is vervallen en opgegaan in de Omgevingswet.
            
            Voor verdere beschrijving per variabele zie https://www.cbs.nl/nl-nl/maatwerk/2024/49/basisdataset-mest-2022-programma-realisatie-interbestuurlijke-datastrategie",Centraal Bureau voor de Statistiek,infoservice@cbs.nl,,,,infoservice (Centraal Bureau voor de Statistiek); infoservice (Centraal Bureau voor de Statistiek),"('0.7419', '50.2206', '9.5545', '54.0838')","Naamsvermelding verplicht, CBS, Kadaster (http://creativecommons.org/licenses/by/4.0/deed.nl)",otherRestrictions,,https://geoserver.cbs.nl/geoserver/CBS_SMI/wfs?service=WFS&version=2.0.0&request=GetCapabilities&layers=CBS_SMI,CBS_SMI:Huisvesting_2022,Huisvesting_2022,CBS_SMI:Huisvesting_2022,Huisvesting_2022,CBS_SMI:Huisvesting_2022,"(-176437.19837703963, 256206.01132378116, 452358.9654265609, 687495.9117557927)",True,True
5aa03c75-4271-4e29-8753-71eef7dbc2c6,dataset,ISO 19115,WFS; WMS,2024-11-15,dut,,Bebouwde kommen onder de Wegenwet,BEBOUWDE KOM; GRENZEN; WEGEN; Provinciaal beleid; Downloadable Data,"Bebouwde kommen volgens de Wegenwet, vastgesteld door Gedeputeerde Staten. De bebouwde kommen in de gemeente Vijfheerenlanden, die sinds 1 januari 2019 deel uitmaakt van de provincie Utrecht, zijn nog in concept.",Provincie Utrecht,GIS@provincie-utrecht.nl,,,,GIS (Provincie Utrecht),"('4.802', '51.859', '5.599', '52.284')",Open data (publiek)|https://creativecommons.org/publicdomain/mark/1.0/deed.nl,otherRestrictions,,https://services.geodata-utrecht.nl/geoserver/v01_2_1_wegennet/wfs,Bebouwdekom_wegenwet,Bebouwdekom_wegenwet,v01_2_1_wegennet:Bebouwdekom_wegenwet,Bebouwdekom_wegenwet,v01_2_1_wegennet:Bebouwdekom_wegenwet,"(114686.94508030225, 430069.8090139576, 169590.2729177986, 477494.66859423916)",True,True
ce999c1b-b8b5-41c5-ae76-8b0e5fc69abb,service,ISO 19115,WFS,2025-03-14,dut,,CBS Postcode4 statistieken 2022 WFS,Demografie; Postcode; Pc4; Statistiek; Bevolking; Inwoners; Leeftijd; Herkomst; Woningen; Inkomen; Sociale_zekerheid; Woz; Woningeigendom; Huur; Voorziening; Nabijheid; Spreiding_van_de_bevolking,"De WFS service postcode4 statistieken 2022 bevat statistische gegevens voor het numerieke deel van de postcode voor het jaar 2022. 

Met ingang van augustus 2024 zijn gegevens over het jaar 2023 toegevoegd en zijn het aantal gegevens van de jaren 2022 en 2021 uitgebreid met gegevens over demografie, woningen, energie, inkomen, sociale zekerheid, nabijheid van voorzieningen en dichtheid.

Lees voor meer informatie: https://www.cbs.nl/nl-nl/longread/diversen/2024/statistische-gegevens-per-vierkant-en-postcode-2021-2022-2023",,beheerpdok@kadaster.nl,,,,,"('-1.7706', '50.0813', '10.5461', '56.2483')","Naamsvermelding verplicht, organisatienaam (https://creativecommons.org/licenses/by/4.0/deed.nl)",otherRestrictions,,https://service.pdok.nl/cbs/postcode4/2022/wfs/v1_0?request=GetCapabilities&service=WFS,postcode4:postcode4,postcode4,postcode4:postcode4,postcode4,postcode4:postcode4,"(-356893.8749085563, 245224.31562224115, 524131.0292524807, 941274.5444021081)",True,True
e1e99000-ec47-4e9f-84a5-adad24fef0dc,dataset,ISO 19115,WMS; WFS,2024-02-09,dut,28992,Natuurlijke alfa activiteitsconcentratie in lucht Nationaal Meetnet Radioactiviteit 2011,,Deze dataset bevat de jaargemiddelde cijfers van het Nationaal Meetnet Radioactiviteit van het RIVM zoals in het kader van het EURATOM verdrag verzameld. De data is op diverse meetlocaties verspreid over Nederland gemeten.,,nmrbeheer@rivm.nl,,,,,"('3.37', '50.75', '7.21', '53.47')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,,https://data.rivm.nl/geo/inspire/wfs?request=GetCapabilities,inspire:nat_alpha_activity_2011,nat_alpha_activity_2011,inspire:nat_alpha_activity_2011,nat_alpha_activity_2011,inspire:nat_alpha_activity_2011,"(12641.342046650214, 308271.9446049008, 283641.6146431133, 611189.4251694259)",True,True
