identifier,resource_type,md_standard,ogc_web_services,md_date,language,crs_epsg_codes,title,keywords,abstract,md_contact_name,md_contact_email,landing_page,data_creators,data_publishers,data_pointcontact,bounding_box,license,access_rights,wcs_getcapabilities_url,wfs_getcapabilities_url,csw_metadata_name,csw_metadata_name_clean,coverage_id,clean_coverage_id,layer,crs_epsg,spatial_resolution,bbox_28992,intersects_outline_1,intersects_outline_2,keywords_+,has_fuzzy_keyword_match
7f14c112-9004-43ec-8cf2-0ac54a253721,dataset,ISO 19115,WMS; WCS,2022-11-15,dut,28992,Natuurlijke ziekte- en plaagwering van de bodem (relatief),bodem,"Wat ziet U: De natuurlijke ziekten- en plaagwering van de bovenste 20 cm van de bodem, obv samengestelde indicatorenset

Wat is de waarde: Een goede natuurlijke ziekten- en plaagwering is goed voor de gezonde groei van gewassen, zonder overvloedige bestrijding (bestrijdingsmiddelengebruik tegen onkruiden, plaaginsecten en plantenziekten). 

Belangrijk voor: verminderen van ziekten- en plaagbestrijding met chemische middelen in de landbouw en op recreatieterreinen.",RIVM,atlasnatuurlijkkapitaal@rivm.nl,,RIVM,,,"('3.37087', '50.7539', '7.21097', '53.4658')",geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/ank/wcs?,,rivm_r3_gm_diseasesupp,rivm_r3_gm_diseasesupp,ank__rivm_r3_gm_diseasesupp,rivm_r3_gm_diseasesupp,ank__rivm_r3_gm_diseasesupp,28992,"(25.0, 25.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True,True,20;belangrijk;bestrijding;bestrijdingsmiddelengebruik;bodem;bovenste;chemische;cm;de;een;en;gewassen;gezonde;goed;goede;groei;in;indicatorenset;is;landbouw;met;middelen;natuurlijke;obv;onkruiden;op;overvloedige;plaagbestrijding;plaaginsecten;plaagwering;plantenziekten;recreatieterreinen;samengestelde;tegen;u;van;verminderen;voor;waarde;wat;ziekten;ziet;zonder,True
c186ec2a-ca51-4d28-b2a8-d99ce886e145,dataset,ISO 19115,WMS; WCS,2022-11-17,dut,28992,Grootschalige stikstofdepositie Nederland,stikstofdepositie,Wat ziet u? De depositie van stikstofverbindingen in Nederland. De ruimtelijke resolutie is 1x km2. Depositiewaarden voor de natuur m.n. de Natura2000-gebieden worden gebruikt in de Programmatische Aanpak Stikstof (PAS). Stikstofdepositie op andere gebieden in Nederland worden geleverd aan de PBL en CBS. CBS maakt daarvan onder ander N-balansen over landbouwgebied en wateren.,RIVM,atlasnatuurlijkkapitaal@rivm.nl,,RIVM,,,"('3.37087', '50.7539', '7.21097', '53.4658')",Geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/wcs?VERSION=2.0.1&SERVICE=WCS&REQUEST=GetCoverage&COVERAGEID=dank__rivm_r19_gm_n-depositie,,rivm_r19_gm_n-depositie,rivm_r19_gm_n-depositie,ank__rivm_r19_gm_n-depositie,rivm_r19_gm_n-depositie,ank__rivm_r19_gm_n-depositie,28992,"(1000.0, 1000.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True,True,1x;aan;aanpak;ander;andere;balansen;cbs;daarvan;de;depositie;depositiewaarden;en;gebieden;gebruikt;geleverd;in;is;km2;landbouwgebied;m;maakt;n;natura2000;natuur;nederland;onder;op;over;pas;pbl;programmatische;resolutie;ruimtelijke;stikstof;stikstofdepositie;stikstofverbindingen;u;van;voor;wat;wateren;worden;ziet,True
d552c878-d8a0-4516-9182-86cee400305c,dataset,ISO 19115,WMS; WCS,2022-11-12,dut,28992,Bodemstructuur toplaag voor groei van gewassen (relatief),bodem; structuur,"Wat ziet U: De bodemstructuur van de bovenste 20 cm van de bodem, obv samengestelde indicatorenset

Wat is de waarde: Een goede bodemstructuur is gunstig voor groei van gewassen en een buffer voor water (opslag, afgifte en transport). Een goede bodemstructuur staat toe het land te berijden zonder schade van zware machines. 

Belangrijk voor: Alle groene functies van de bodem (landbouw, recreatie, parken, tuinen)",RIVM,atlasnatuurlijkkapitaal@rivm.nl,,,,,"('3.37087', '50.7539', '7.21097', '53.4658')",Geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/ank/wcs?,,dank__rivm_r1_gm_soilstr,rivm_r1_gm_soilstr,ank__rivm_r1_gm_soilstr,rivm_r1_gm_soilstr,ank__rivm_r1_gm_soilstr,28992,"(25.0, 25.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True,True,20;afgifte;alle;belangrijk;berijden;bodem;bodemstructuur;bovenste;buffer;cm;de;een;en;functies;gewassen;goede;groei;groene;gunstig;het;indicatorenset;is;land;landbouw;machines;obv;opslag;parken;recreatie;samengestelde;schade;staat;structuur;te;toe;transport;tuinen;u;van;voor;waarde;wat;water;ziet;zonder;zware,True
c85b24f4-eb93-455a-84bc-e3f4588bb780,dataset,ISO 19115,WMS; WCS,2025-01-30,dut,28992; 5709,Wegenkaart Nederland 2013,,"Geeft een overzicht van de rijks- en provinciale wegen in Nederland.
Voor detail: zie legenda",Rijkswaterstaat,https://www.rijkswaterstaat.nl/formulieren/contactformulier-servicedesk-data,,Servicedesk Data,,Servicedesk Data (Rijkswaterstaat),"('3.118', '50.67', '7.253', '53.61')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://geo.rijkswaterstaat.nl/services/ogc/gdr/wegenkaart/ows?service=WCS&request=getcapabilities&version=2.0.1,,wegenkaart:wegenkaart_2013,wegenkaart_2013,wegenkaart__wegenkaart_2013,wegenkaart_2013,wegenkaart__wegenkaart_2013,28992,"(21.166623666367, 21.166626258007)","(-5414.871507011412, 299450.29248729965, 286902.48955525074, 627264.9790285337)",True,True,de;detail;een;en;geeft;in;legenda;nederland;overzicht;provinciale;rijks;van;voor;wegen;zie,True
c85b24f4-eb93-455a-84bc-e3f4588bb779,dataset,ISO 19115,WMS; WCS,2025-01-30,dut,28992; 5709,Wegenkaart Nederland 2018,,"Geeft een overzicht van de rijks- en provinciale wegen in Nederland.
Voor detail: zie legenda",Rijkswaterstaat,https://www.rijkswaterstaat.nl/formulieren/contactformulier-servicedesk-data,,Servicedesk Data,,Servicedesk Data (Rijkswaterstaat),"('3.118', '50.67', '7.253', '53.61')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://geo.rijkswaterstaat.nl/services/ogc/gdr/wegenkaart/ows?service=WCS&request=getcapabilities&version=2.0.1,,wegenkaart:wegenkaart_2018,wegenkaart_2018,wegenkaart__wegenkaart_2018,wegenkaart_2018,wegenkaart__wegenkaart_2018,28992,"(27.094192632589117, 27.094192632589117)","(-5414.871507011412, 299450.29248729965, 286902.48955525074, 627264.9790285337)",True,True,de;detail;een;en;geeft;in;legenda;nederland;overzicht;provinciale;rijks;van;voor;wegen;zie,True
fdf0a7f6-2087-4e3a-96aa-02691d526d48,dataset,ISO 19115,WMS; WCS,2025-01-30,dut,28992; 5709,Wegenkaart Nederland 2023,,"Geeft een overzicht van de rijks- en provinciale wegen in Nederland. Voor detail: zie legenda. 
				Deze kaart heeft als doel een overzicht te geven van de wegen en vaarwegen in Nederland en is een instrument voor beleidsvorming en niet voor gedetailleerd gebruik of voor het ontlenen van informatie voor operationele en juridische besluitvorming. Om uit de veelheid van beschikbare informatie een evenwichtig en leesbaar beeld te verkrijgen, zijn een aantal items selectief in de kaart opgenomen c.q. gegeneraliseerd.
				De werkelijke situatie is daarom in veel gevallen gedetailleerder en complexer. De beschikbaar gestelde kaarten zijn gebaseerd op de situatie van september 2023. RWS heeft het voornemen de basiskaart in 2024 te actualiseren. De datum is echter door de opdrachtgever nog niet vastgesteld.",Rijkswaterstaat,https://www.rijkswaterstaat.nl/formulieren/contactformulier-servicedesk-data,,Servicedesk Data,,Servicedesk Data (Rijkswaterstaat),"('3.118', '50.67', '7.253', '53.61')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://geo.rijkswaterstaat.nl/services/ogc/gdr/wegenkaart/ows?service=WCS&request=getcapabilities&version=2.0.1,,wegenkaart:wegenkaart,wegenkaart,wegenkaart__wegenkaart,wegenkaart,wegenkaart__wegenkaart,28992,"(27.093333333441706, 27.093333333441706)","(-5414.871507011412, 299450.29248729965, 286902.48955525074, 627264.9790285337)",True,True,2023;2024;aantal;actualiseren;als;basiskaart;beeld;beleidsvorming;beschikbaar;beschikbare;besluitvorming;c;complexer;daarom;datum;de;detail;deze;doel;door;echter;een;en;evenwichtig;gebaseerd;gebruik;gedetailleerd;gedetailleerder;geeft;gegeneraliseerd;gestelde;gevallen;geven;heeft;het;in;informatie;instrument;is;items;juridische;kaart;kaarten;leesbaar;legenda;nederland;niet;nog;of;om;ontlenen;op;opdrachtgever;operationele;opgenomen;overzicht;provinciale;q;rijks;rws;selectief;september;situatie;te;uit;vaarwegen;van;vastgesteld;veel;veelheid;verkrijgen;voor;voornemen;wegen;werkelijke;zie;zijn,True
55811db7-cfc2-4740-8924-93e2a61b7969,dataset,ISO 19115,WMS; WCS,2024-05-29,dut,28992; 5709,Orthofotomozaiek Ijsselmeer 2011 (falsecolor),Luchtfoto; MWTL; N2000; KRW; Vegetatiestructuurkaart; Vegetatie; Natuur en Milieu; Biologische monitoring,"Orthofotomozaiek van Ijsselmeer vervaardigd uit stereoluchtfoto opnamen verworven  22-4/25-4 2011, 1-5-2011, 3-6-2011 ter ondersteuning van het biologische monitoringsprogramma Ecotopenkarteringen in opdracht van de Waterdienst.",Rijkswaterstaat,https://www.rijkswaterstaat.nl/formulieren/contactformulier-servicedesk-data,,Servicedesk Data,,Servicedesk Data (Rijkswaterstaat),"('5.033', '52.251', '5.852', '53.082')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://geo.rijkswaterstaat.nl/services/ogc/gdr/luchtfoto_ecotopen/ows?service=WCS&request=getcapabilities&version=2.0.1,,luchtfoto_ecotopen:e_IJsselmeer_oost_2011,e_IJsselmeer_oost_2011,luchtfoto_ecotopen__e_IJsselmeer_oost_2011,e_IJsselmeer_oost_2011,luchtfoto_ecotopen__e_IJsselmeer_oost_2011,28992,"(0.25, 0.25)","(130812.48172688037, 473720.937074629, 186739.46871990117, 566229.9937878639)",True,True,1;2011;22;25;3;4;5;6;Biologische monitoring;KRW;Luchtfoto;MWTL;N2000;Natuur en Milieu;Vegetatie;Vegetatiestructuurkaart;biologische;de;ecotopenkarteringen;het;ijsselmeer;in;monitoringsprogramma;ondersteuning;opdracht;opnamen;orthofotomozaiek;stereoluchtfoto;ter;uit;van;vervaardigd;verworven;waterdienst,True
d1f62dd5-096d-4f50-8d31-7a8ac3c8b30e,dataset,ISO 19115,WMS; WCS,2022-11-14,dut,28992,Geschikte habitat bestuivers,bestuiving; geschikte habitat,De kaart geeft een beeld van de ruimtelijke spreiding van geschikte habitatten voor bestuivers. Omdat sommige bestuivers slechts weinig nodig hebben als leefgebied is momenteel alle groene ruimte aangeduid als potentiële habitat. Om groene ruimtes te bepalen is gebruik gemaakt van de LCEU ecosysteemtypen kaart van het CBS. De kaart is geproduceerd voor de Atlas Natuurlijk Kapitaal door kennisinstituten RIVM en VITO (België).,RIVM,info@atlasnatuurlijkkapitaal.nl,,RIVM,,,"('3.37087', '50.7539', '7.21097', '53.4658')",Geen beperkingen,otherRestrictions,https://data.rivm.nl/geo/ank/wcs?,,dank:rivm_r60_gm_geschiktehabitatbestuivers,rivm_r60_gm_geschiktehabitatbestuivers,ank__rivm_r60_gm_geschiktehabitatbestuivers,rivm_r60_gm_geschiktehabitatbestuivers,ank__rivm_r60_gm_geschiktehabitatbestuivers,28992,"(100.0, 100.0)","(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True,True,aangeduid;alle;als;atlas;beeld;belgië;bepalen;bestuivers;bestuiving;cbs;de;door;ecosysteemtypen;een;en;gebruik;geeft;gemaakt;geproduceerd;geschikte;geschikte habitat;groene;habitat;habitatten;hebben;het;is;kaart;kapitaal;kennisinstituten;lceu;leefgebied;momenteel;natuurlijk;nodig;om;omdat;potentiële;rivm;ruimte;ruimtelijke;ruimtes;slechts;sommige;spreiding;te;van;vito;voor;weinig,True
59661f74-31dd-4c37-86e8-deeb1b5819b5,dataset,ISO 19115,WMS; WCS,2024-05-29,dut,28992; 5709,Orthofotomozaiek IJsselmeer 2004,Luchtfoto; MWTL; N2000; KRW; Vegetatiestructuurkaart; Vegetatie; Natuur en Milieu; Biologische monitoring,infrarood orthofoto voor vegetatie kartering,Rijkswaterstaat,https://www.rijkswaterstaat.nl/formulieren/contactformulier-servicedesk-data,,Servicedesk Data,,Servicedesk Data (Rijkswaterstaat),"('5.033', '52.251', '5.852', '53.082')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://geo.rijkswaterstaat.nl/services/ogc/gdr/luchtfoto_ecotopen/ows?service=WCS&request=getcapabilities&version=2.0.1,,luchtfoto_ecotopen:e_IJsselmeer_2004,e_IJsselmeer_2004,luchtfoto_ecotopen__e_IJsselmeer_2004,e_IJsselmeer_2004,luchtfoto_ecotopen__e_IJsselmeer_2004,28992,"(0.5, 0.5)","(130812.48172688037, 473720.937074629, 186739.46871990117, 566229.9937878639)",True,True,Biologische monitoring;KRW;Luchtfoto;MWTL;N2000;Natuur en Milieu;Vegetatie;Vegetatiestructuurkaart;infrarood;kartering;orthofoto;vegetatie;voor,True
27b7c988-f7eb-4f8a-8d5b-4ef74808f880,dataset,ISO 19115,WMS; WCS,2025-01-30,dut,28992; 5709,Wegenkaart Nederland 2021,,"Geeft een overzicht van de rijks- en provinciale wegen in Nederland.
Voor detail: zie legenda",Rijkswaterstaat,https://www.rijkswaterstaat.nl/formulieren/contactformulier-servicedesk-data,,Servicedesk Data,,Servicedesk Data (Rijkswaterstaat),"('3.118', '50.67', '7.253', '53.61')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,https://geo.rijkswaterstaat.nl/services/ogc/gdr/wegenkaart/ows?service=WCS&request=getcapabilities&version=2.0.1,,wegenkaart:wegenkaart_2021,wegenkaart_2021,wegenkaart__wegenkaart_2021,wegenkaart_2021,wegenkaart__wegenkaart_2021,28992,"(27.09333333344171, 27.09333333344171)","(-5414.871507011412, 299450.29248729965, 286902.48955525074, 627264.9790285337)",True,True,de;detail;een;en;geeft;in;legenda;nederland;overzicht;provinciale;rijks;van;voor;wegen;zie,True
