identifier,resource_type,md_standard,ogc_web_services,md_date,language,crs_epsg_codes,title,keywords,abstract,md_contact_name,md_contact_email,landing_page,data_creators,data_publishers,data_pointcontact,bounding_box,license,access_rights,wcs_getcapabilities_url,wfs_getcapabilities_url,csw_metadata_name,csw_metadata_name_clean,feature_id,clean_feature_ids,layer,bbox_28992,intersects_outline_1,intersects_outline_2,keywords_+,has_fuzzy_keyword_match
150732ad-782d-448b-9fff-fa7027f11b6a,dataset,ISO 19115,WMS; WFS,2022-11-17,dut,28992,Geluidkaart rijkswegen 2016 (Lnight) - Atlas Leefomgeving,Gezondheid; Veiligheid; geluid; lawaai; nacht; lnight,Deze geluidskaart laat zien hoeveel geluid het verkeer op een snelweg maakte in 2016. De kaart geeft de gemiddelde geluidswaarde van alle nachtperioden (23.00 tot 7.00 uur) weer. Op de kaart staan alle snelwegen die worden beheerd door Rijkswaterstaat. Geluidskaarten van andere wegen en andere geluidsbronnen zijn te vinden bij provincies en een aantal gemeenten. Wettelijk moeten deze geluidbelastingskaarten eenmaal in de vijf jaar worden ontwikkeld.,RIVM,atlasleefomgeving@rivm.nl,,,,Rijkswaterstaat,"('3.1954102881017565', '50.67190131033707', '7.383358171635846', '53.63951025614753')",Geen beperkingen,otherRestrictions,,https://data.rivm.nl/geo/alo/wfs?,alo:vw_rivm_r97_20170912_lg_rijksweg2016lnight,vw_rivm_r97_20170912_lg_rijksweg2016lnight,alo:vw_rivm_r97_20170912_lg_rijksweg2016lnight,vw_rivm_r97_20170912_lg_rijksweg2016lnight,alo:vw_rivm_r97_20170912_lg_rijksweg2016lnight,"(62.6354098431475, 299904.60230959, 296110.8711899901, 630389.498824087)",True,True,00;2016;23;7;Gezondheid;Veiligheid;aantal;alle;andere;beheerd;bij;de;deze;die;door;een;eenmaal;en;geeft;geluid;geluidbelastingskaarten;geluidsbronnen;geluidskaart;geluidskaarten;geluidswaarde;gemeenten;gemiddelde;het;hoeveel;in;jaar;kaart;laat;lawaai;lnight;maakte;moeten;nacht;nachtperioden;ontwikkeld;op;provincies;rijkswaterstaat;snelweg;snelwegen;staan;te;tot;uur;van;verkeer;vijf;vinden;weer;wegen;wettelijk;worden;zien;zijn,True
69958238-d61e-4440-bed2-26d990578835,service,ISO 19115,WFS,2024-08-29,dut,,Richtlijn Stedelijk Afvalwater (RSA) WFS,Richtlijn Stedelijk Afvalwater; Richtlijn 91/271/EEG; 31991L0271; Lozingspunten; Rioolwaterzuivering; Rwzi; Agglomeraties; Kwetsbaargebied,"Deze Webfeature service Richtlijn Stedelijk Afvalwater, bevat de meest actuele versie van agglomeraties, rioolwaterzuiveringsinstallaties (RWZI's), lozingspunten en kwetsbare gebieden zoals gerapporteerd naar de Europese Commissie tbv EU rapportage",,beheerpdok@kadaster.nl,,,,,"('-0.1124', '50.3808', '9.3353', '55.9755')",Geen beperkingen (https://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,,https://service.pdok.nl/rws/richtlijnstedelijkafvalwater/wfs/v2_0?request=GetCapabilities&service=WFS,richtlijnstedelijkafvalwater:rsa_kwetsbaargebied,rsa_kwetsbaargebied,richtlijnstedelijkafvalwater:rsa_kwetsbaargebied,rsa_kwetsbaargebied,richtlijnstedelijkafvalwater:rsa_kwetsbaargebied,"(-235985.32493249525, 273147.7369725155, 435770.5395191789, 901708.0599155759)",True,True,31991L0271;Agglomeraties;Kwetsbaargebied;Lozingspunten;Richtlijn 91/271/EEG;Richtlijn Stedelijk Afvalwater;Rioolwaterzuivering;Rwzi;actuele;afvalwater;agglomeraties;bevat;commissie;de;deze;en;eu;europese;gebieden;gerapporteerd;kwetsbare;lozingspunten;meest;naar;rapportage;richtlijn;rioolwaterzuiveringsinstallaties;rwzi;s;service;stedelijk;tbv;van;versie;webfeature;zoals,True
5aa03c75-4271-4e29-8753-71eef7dbc2c6,dataset,ISO 19115,WFS; WMS,2024-11-15,dut,,Bebouwde kommen onder de Wegenwet,BEBOUWDE KOM; GRENZEN; WEGEN; Provinciaal beleid; Downloadable Data,"Bebouwde kommen volgens de Wegenwet, vastgesteld door Gedeputeerde Staten. De bebouwde kommen in de gemeente Vijfheerenlanden, die sinds 1 januari 2019 deel uitmaakt van de provincie Utrecht, zijn nog in concept.",Provincie Utrecht,GIS@provincie-utrecht.nl,,,,GIS (Provincie Utrecht),"('4.802', '51.859', '5.599', '52.284')",Open data (publiek)|https://creativecommons.org/publicdomain/mark/1.0/deed.nl,otherRestrictions,,https://services.geodata-utrecht.nl/geoserver/v01_2_1_wegennet/wfs,Bebouwdekom_wegenwet,Bebouwdekom_wegenwet,v01_2_1_wegennet:Bebouwdekom_wegenwet,Bebouwdekom_wegenwet,v01_2_1_wegennet:Bebouwdekom_wegenwet,"(114686.94508030225, 430069.8090139576, 169590.2729177986, 477494.66859423916)",True,True,1;2019;BEBOUWDE KOM;Downloadable Data;GRENZEN;Provinciaal beleid;WEGEN;bebouwde;concept;de;deel;die;door;gedeputeerde;gemeente;in;januari;kommen;nog;provincie;sinds;staten;uitmaakt;utrecht;van;vastgesteld;vijfheerenlanden;volgens;wegenwet;zijn,True
7b9ffe10-7072-49fc-95e5-53ca8772a4c1,dataset,ISO 19115,WFS; WMS,2024-05-02,dut,28992,Water voor aquatische natuur,grondwater; beregening; landbouw; watervoorziening,"De kaart toont de natuurwaarde van natte en vochtige ecosystemen in Nederland. De kaart is gebaseerd op waargenomen plantensoorten (per km2) uit de database van Stichting Floron (Florbase-2N), gecombineerd met een natuurwaarde berekening met het model DEMNAT (Deltares) op basis van de mate van ontwikkeling. Gebieden met een hoge natuurwaarde zijn afhankelijk van de beschikbaarheid van water van een goede kwaliteit om de ontwikkeling zeldzame soorten mogelijk te maken. Deze kaart is daarmee een indicatie van gebieden waar water van goede kwaliteit beschikbaar is voor aquatische en terrestrische natuur.

                    In Nederland zijn grofweg vijf typen natuur te onderscheiden:
                    1.	Hoge zandgronden met bossen en droge heide
                    2.	Natte natuur met hoge waterpeilen zoals het IJsselmeer, de weerribben en oppervlaktewater- gevoede veenplassen.
                    3.	Kwelafhankelijke natuur die veelal in beekdalen te vinden is.
                    4.	Overstromende natuur, zoals de uiterwaarden in het rivierengebied.
                    5.	Duinen en stranden

                    Aquatische natuur bevindt zich in type 2 en 3.

                    Kwelafhankelijke natuur is gebonden aan hoge grondwaterstanden en grondwater met een specifieke chemische samenstelling (basen rijk en niet verontreinigd). De kwelafhankelijke natuurgebieden zijn voornamelijk te vinden in beekdalen, maar ook in andere gebieden waar sprake is van een kwelsituatie, zoals langs de Hondsrug, de Utrechtse Heuvelrug en de Veluwe waar de natuur wordt  beïnvloed door het grondwater.
                    Andere systemen die sterk afhankelijk zijn van de grondwatersituatie zijn hoogvenen en vennen. Ook in de duinengebieden is de natuur vaak afhankelijk van specifieke beïnvloeding door grondwater. In veel kwelafhankelijke natuur is sprake van verdroging en verzuring door te lage grondwaterstanden in omliggend gebied (door drainage) of door grondwateronttrekkingen (Aggenbach, 2005, Witte et al. 2007).

                    Ook kan in aquatische ecosystemen sprake zijn van verdroging wanneer te veel water wegzijgt, naar omringend gedraineerd gebied met lagere waterpeilen. Om dit te compenseren wordt gebiedsvreemd water ingelaten, dat vaak niet de gewenste kwaliteit heeft. Zowel in aquatische als terrestrische ecosystemen is vaak sprake van vermesting door te voedselrijk grondwater of oppervlaktewater. Al deze knelpunten leiden tot afname van de biodiversiteit (Aggenbach, 2005, Witte et al. 2007).

                    Meerdere ecosysteemdiensten maken gebruik van dezelfde watervoorraad. Voor aquatische natuur (rivieren, beken, sloten en kreken) is het van belang dat voldoende water van goede kwaliteit aanwezig is. Beschikbare grondwatervoorraden spelen hierin een cruciale rol, niet alleen voor de levering van voldoende water, maar ook van de juiste kwaliteit. De capaciteit van deze voorraden neemt af door gebruik voor andere ecosysteemdiensten, zoals onttrekkingen voor irrigatie en drinkwater (figuur 1). Ook andere ontwikkelingen die ingrijpen op de grondwaterstanden en stijghoogten, zoals (toename van) drainage in landbouwgebieden, kunnen van grote beperkende invloed zijn op kwelafhankelijke natuur.",Atlas Natuurlijk Kapitaal,atlasnatuurlijkkapitaal@rivm.nl,,,,Atlas Natuurlijk Kapitaal; Marijn Kuijper - Bodem- en Grondwatersystemen (Deltares),"('3.37087', '50.7539', '7.21097', '53.4658')","Naamsvermelding verplicht, organisatienaam (http://creativecommons.org/licenses/by/4.0/deed.nl)",otherRestrictions,,https://data.rivm.nl/geo/ank/wfs?request=GetCapabilities,ank:d2_aquatische_natuur,d2_aquatische_natuur,ank:d2_aquatische_natuur,d2_aquatische_natuur,ank:d2_aquatische_natuur,"(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True,True,1;2;2005;2007;2n;3;4;5;aan;aanwezig;af;afhankelijk;afname;aggenbach;al;alleen;als;andere;aquatische;basen;basis;beekdalen;beken;belang;beperkende;beregening;berekening;beschikbaar;beschikbaarheid;beschikbare;bevindt;beïnvloed;beïnvloeding;biodiversiteit;bossen;capaciteit;chemische;compenseren;cruciale;daarmee;dat;database;de;deltares;demnat;deze;dezelfde;die;dit;door;drainage;drinkwater;droge;duinen;duinengebieden;ecosysteemdiensten;ecosystemen;een;en;et;figuur;florbase;floron;gebaseerd;gebied;gebieden;gebiedsvreemd;gebonden;gebruik;gecombineerd;gedraineerd;gevoede;gewenste;goede;grofweg;grondwater;grondwateronttrekkingen;grondwatersituatie;grondwaterstanden;grondwatervoorraden;grote;heeft;heide;het;heuvelrug;hierin;hoge;hondsrug;hoogvenen;ijsselmeer;in;indicatie;ingelaten;ingrijpen;invloed;irrigatie;is;juiste;kaart;kan;km2;knelpunten;kreken;kunnen;kwaliteit;kwelafhankelijke;kwelsituatie;lage;lagere;landbouw;landbouwgebieden;langs;leiden;levering;maar;maken;mate;meerdere;met;model;mogelijk;naar;natte;natuur;natuurgebieden;natuurwaarde;nederland;neemt;niet;of;om;omliggend;omringend;onderscheiden;onttrekkingen;ontwikkeling;ontwikkelingen;ook;op;oppervlaktewater;overstromende;per;plantensoorten;rijk;rivieren;rivierengebied;rol;samenstelling;sloten;soorten;specifieke;spelen;sprake;sterk;stichting;stijghoogten;stranden;systemen;te;terrestrische;toename;toont;tot;type;typen;uit;uiterwaarden;utrechtse;vaak;van;veel;veelal;veenplassen;veluwe;vennen;verdroging;vermesting;verontreinigd;verzuring;vijf;vinden;vochtige;voedselrijk;voldoende;voor;voornamelijk;voorraden;waar;waargenomen;wanneer;water;waterpeilen;watervoorraad;watervoorziening;weerribben;wegzijgt;witte;wordt;zandgronden;zeldzame;zich;zijn;zoals;zowel,True
f647c009-6f7b-45f0-b98c-aaa94b1944a1,dataset,ISO 19115,WMS; WFS,2024-02-06,dut,28992,Gemiddelde afstand tot sportaccommodaties,gezondheid,"Op de kaart zie je hoe ver mensen moeten reizen naar sportaccommodaties. Sportaccommodaties zijn plekken waar je kunt sporten. De afstand is een gemiddelde en aangegeven in kilometers. In de berekening zitten negen verschillende soorten sportaccommodaties, namelijk: fitnessruimtes, voetbalvelden, tennisbanen, sporthallen, zwembaden, korfbalzalen, hockeyvelden en golfbanen.",,atlasleefomgeving@rivm.nl,,,,,"('3.37087', '50.7539', '7.21097', '53.4658')",Geen beperkingen (http://creativecommons.org/publicdomain/mark/1.0/deed.nl),otherRestrictions,,https://data.rivm.nl/geo/alo/wfs?request=GetCapabilities,alo:rivm_20230301_afstand_sportacc_gemeente_2020,rivm_20230301_afstand_sportacc_gemeente_2020,alo:rivm_20230301_afstand_sportacc_gemeente_2020,rivm_20230301_afstand_sportacc_gemeente_2020,alo:rivm_20230301_afstand_sportacc_gemeente_2020,"(12714.671780765639, 308707.4330927675, 283699.2577987334, 610720.4772311931)",True,True,aangegeven;afstand;berekening;de;een;en;fitnessruimtes;gemiddelde;gezondheid;golfbanen;hockeyvelden;hoe;in;is;je;kaart;kilometers;korfbalzalen;kunt;mensen;moeten;naar;namelijk;negen;op;plekken;reizen;soorten;sportaccommodaties;sporten;sporthallen;tennisbanen;ver;verschillende;voetbalvelden;waar;zie;zijn;zitten;zwembaden,True
ea121a7a-2d6d-4f89-ab7d-9faa7f767b6f,dataset,ISO 19115,WMS; WFS,2023-11-22,dut,28992,Maximale waterdiepte onbeschermd,Risicokaart,Deze kaartlaag geeft een indicatie van de waterdiepte bij overstromingen voor onbeschermde gebieden bij een hoogwaterstand met een overschrijdingskans van ca. 1/1000 per jaar.,Provincie Zeeland,geo@zeeland.nl,,,,,"('3.264', '50.728', '7.224', '53.523')",Geen beperkingen (http://creativecommons.org/publicdomain/mark/1.0/deed.nl),otherRestrictions,,https://opengeodata.zeeland.nl/geoserver/water/wfs?request=GetCapabilities,geonam_rsckrtmxmwtdonbvlk,geonam_rsckrtmxmwtdonbvlk,water:geonam_rsckrtmxmwtdonbvlk,geonam_rsckrtmxmwtdonbvlk,water:geonam_rsckrtmxmwtdonbvlk,"(5091.122769894835, 305849.64708389016, 284690.8770620246, 617289.1683575981)",True,True,1;1000;Risicokaart;bij;ca;de;deze;een;gebieden;geeft;hoogwaterstand;indicatie;jaar;kaartlaag;met;onbeschermde;overschrijdingskans;overstromingen;per;van;voor;waterdiepte,True
2cc2c30c-91b8-412a-a060-e84d25272581,dataset,ISO 19115,WMS; WFS,2022-12-14,dut,28992,Zones en agglomeraties (Richtlijn Luchtkwaliteit) 2013,,"Conform de Europese richtlijn 2008/50/EG is Nederland verdeeld in diverse zones en agglomeraties. Dit zijn gebieden waarbinnen de luchtkwaliteit grofweg van dezelfde kwaliteit is. Zo is Nederland verdeeld in drie zones en zes agglomeraties (Mooibroek et al., 2014). Voor elke zone en agglomeratie, waar metingen de enige bron van informatie zijn, moet de minimale meetinspanning vastgesteld worden. Deze meetinspanning is afhankelijk van de heersende concentraties en het inwoneraantal van de zone/agglomeratie.",,emissieregistratie@rivm.nl,,,,Emissieregistratie,"('3.37', '50.75', '7.21', '53.47')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,,https://data.rivm.nl/geo/inspire/wfs?request=GetCapabilities,airq_zone_agglom_2013,airq_zone_agglom_2013,inspire:airq_zone_agglom_2013,airq_zone_agglom_2013,inspire:airq_zone_agglom_2013,"(12641.342046650214, 308271.9446049008, 283641.6146431133, 611189.4251694259)",True,True,2008;2014;50;afhankelijk;agglomeratie;agglomeraties;al;bron;concentraties;conform;de;deze;dezelfde;dit;diverse;drie;eg;elke;en;enige;et;europese;gebieden;grofweg;heersende;het;in;informatie;inwoneraantal;is;kwaliteit;luchtkwaliteit;meetinspanning;metingen;minimale;moet;mooibroek;nederland;richtlijn;van;vastgesteld;verdeeld;voor;waar;waarbinnen;worden;zes;zijn;zo;zone;zones,True
224d93f6-0e4e-41fe-8424-1ab11a6c55ed,service,ISO 19115,WFS,2025-02-06,dut,,Monitoring stations (Nitraatrichtlijn) diepe filters (WFS),Monitoring stations (Nitraatrichtlijn),"Het Landelijk Meetnet Grondwaterkwaliteit (LMG) is opgebouwd tussen 1979 en 1984 en bestaat uit ongeveer 350 meetlocaties die zijn verspreid over heel Nederland. Er wordt bemonsterd in permanente putten die speciaal voor monitoringsdoeleinden zijn aangelegd. Deze waarnemingsputten zijn net buiten de velden aangelegd om eenvoudig te kunnen bemonsteren en de werkzaamheden in het veld niet te hinderen. De locaties zijn geselecteerd op basis van grondsoort, het landgebruik en de hydrologische toestand. Op elke locatie worden grondwatermonsters genomen op diepten van 5-15 m (ondiepe filters) en 15-30 m onder het maaiveld (diepe filters). Op zandgrond worden uit ondiepe waarnemingsputten elk jaar monsters genomen, terwijl er op de andere grondsoorten (klei en veen) elke twee jaar monsters worden genomen uit ondiepe putten. Uit diepe putten wordt elke vier jaar een monster genomen, evenals uit ondiepe filters op meetpunten met mariene invloeden. De putten die niet elk jaar worden bemonsterd, worden in geïnterpoleerd voor de afwezige jaren.",,info@rivm.nl,,,,RIVM; RIVM,"('3.37', '50.75', '7.21', '53.47')",Geen beperkingen (http://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,,https://data.rivm.nl/geo/wfs?request=GetCapabilities,inspire:lmg_f2_2015,lmg_f2_2015,inspire:lmg_f2_2015,lmg_f2_2015,inspire:lmg_f2_2015,"(12641.342046650214, 308271.9446049008, 283641.6146431133, 611189.4251694259)",True,True,15;1979;1984;30;350;5;Monitoring stations (Nitraatrichtlijn);aangelegd;afwezige;andere;basis;bemonsterd;bemonsteren;bestaat;buiten;de;deze;die;diepe;diepten;een;eenvoudig;elk;elke;en;er;evenals;filters;genomen;geselecteerd;geïnterpoleerd;grondsoort;grondsoorten;grondwaterkwaliteit;grondwatermonsters;heel;het;hinderen;hydrologische;in;invloeden;is;jaar;jaren;klei;kunnen;landelijk;landgebruik;lmg;locatie;locaties;m;maaiveld;mariene;meetlocaties;meetnet;meetpunten;met;monitoringsdoeleinden;monster;monsters;nederland;net;niet;om;onder;ondiepe;ongeveer;op;opgebouwd;over;permanente;putten;speciaal;te;terwijl;toestand;tussen;twee;uit;van;veen;veld;velden;verspreid;vier;voor;waarnemingsputten;werkzaamheden;worden;wordt;zandgrond;zijn,True
5bc4e496-4b75-4f6e-ae69-083911db5c8d,service,ISO 19115,WFS,2025-07-08,dut,4258,Gebieden met Natuurrisico's - Overstromingen - Risicogebied - Richtlijn Overstromingsrisico's (ROR) (INSPIRE geharmoniseerd) WFS,Richtlijn Overstromingsrisico; Natuurrisico; Overstromingsrisico; Overstromingsgevaar; Risicogebied; Gebeurtenis; Flooding; RiskArea; Event,"De Webfeature service Gebieden met Natuurrisico's - Overstromingen - Risicogebied bevat geharmoniseerde Risicogebieden. Discrete ruimtelijke objecten die natuurlijke verschijnselen vertegenwoordigen die relevant zijn voor de studie van natuurrampen die zich hebben voorgedaan of momenteel voordoen en die zijn waargenomen in Nederland uit het rapport 'Overstromingsrisico's in Nederland, 2018 in het kader van de Europese Richtlijn Overstromingsrisico’s (ROR) 2e cyclus: 2016 - 2021'.",,beheerpdok@kadaster.nl,,,,,"('-0.86947439', '50.25026862', '9.88645614', '56.09456019')",Geen beperkingen (https://creativecommons.org/publicdomain/zero/1.0/deed.nl),otherRestrictions,,https://service.pdok.nl/rws/overstromingen-risicogebied/wfs/v1_0?request=GetCapabilities&service=WFS,overstromingen-risicogebied:risk_zone,risk_zone,overstromingen-risicogebied:risk_zone,risk_zone,overstromingen-risicogebied:risk_zone,"(-290962.2906602595, 260899.5169373964, 475824.42967275274, 918872.7364238913)",True,True,2016;2018;2021;2e;Event;Flooding;Gebeurtenis;Natuurrisico;Overstromingsgevaar;Overstromingsrisico;Richtlijn Overstromingsrisico;Risicogebied;RiskArea;bevat;cyclus;de;die;discrete;en;europese;gebieden;geharmoniseerde;hebben;het;in;kader;met;momenteel;natuurlijke;natuurrampen;natuurrisico;nederland;objecten;of;overstromingen;overstromingsrisico;rapport;relevant;richtlijn;risicogebied;risicogebieden;ror;ruimtelijke;s;service;studie;uit;van;verschijnselen;vertegenwoordigen;voor;voordoen;voorgedaan;waargenomen;webfeature;zich;zijn,True
f822f69e-433a-4bfd-8222-b87e7edc8cec,dataset,ISO 19115,WFS; WMS,2024-04-09,dut,,Geluidcontouren provinciale wegen (2019) 43 t/m 68 dB Lden,GELUID; GELUIDHINDER; GELUIDSZONES,"Geluidcontouren provinciale wegen als resultaat van de Tussentijdse Doorrekening Omgevingslawaai (peiljaar 2019). De indeling is in klassen van 5 dB Lden, beginnend met 43 dB Lden. WHO drempelwaarde is 53 dB Lden.",Provincie Utrecht,GIS@provincie-utrecht.nl,,,,,"('4.813', '51.896', '5.639', '52.249')",Open data (publiek)|https://creativecommons.org/publicdomain/mark/1.0/deed.nl,otherRestrictions,,https://services.geodata-utrecht.nl/geoserver/m01_4_overlast_hinder/wfs,Geluidcontouren_provinciale_wegen_2019_43_tm_68_dB_Lden,Geluidcontouren_provinciale_wegen_2019_43_tm_68_dB_Lden,m01_4_overlast_hinder:Geluidcontouren_provinciale_wegen_2019_43_tm_68_dB_Lden,Geluidcontouren_provinciale_wegen_2019_43_tm_68_dB_Lden,m01_4_overlast_hinder:Geluidcontouren_provinciale_wegen_2019_43_tm_68_dB_Lden,"(115477.20223786557, 434195.0460585732, 172331.51024225567, 473594.5632198282)",True,True,2019;43;5;53;GELUID;GELUIDHINDER;GELUIDSZONES;als;beginnend;db;de;doorrekening;drempelwaarde;geluidcontouren;in;indeling;is;klassen;lden;met;omgevingslawaai;peiljaar;provinciale;resultaat;tussentijdse;van;wegen;who,True
